Sl No,STATE/UT,YEAR,POPULATION,MALES,FEMALES,MALES(per_100k),FEMALES(per_100k),TOTAL IPC CRIMES,TOTAL IPC CRIMES(per_100k),ARSON,ARSON(per_100k),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(per_100k),ATTEMPT TO MURDER,ATTEMPT TO MURDER(per_100k),AUTO THEFT,AUTO THEFT(per_100k),BURGLARY,BURGLARY(per_100k),CAUSING DEATH BY NEGLIGENCE,CAUSING DEATH BY NEGLIGENCE(per_100k),CHEATING,CHEATING(per_100k),COUNTERFIETING,COUNTERFIETING(per_100k),CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST(per_100k),CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY BY HUSBAND OR HIS RELATIVES(per_100k),CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER(per_100k),CUSTODIAL RAPE,CUSTODIAL RAPE(per_100k),DACOITY,DACOITY(per_100k),DOWRY DEATHS,DOWRY DEATHS(per_100k),HURT/GREVIOUS HURT,HURT/GREVIOUS HURT(per_100k),IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES(per_100k),INSULT TO MODESTY OF WOMEN,INSULT TO MODESTY OF WOMEN(per_100k),KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION(per_100k),KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING AND ABDUCTION OF OTHERS(per_100k),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS(per_100k),MURDER,MURDER(per_100k),OTHER RAPE,OTHER RAPE(per_100k),OTHER THEFT,OTHER THEFT(per_100k),PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY(per_100k),RAPE,RAPE(per_100k),RIOTS,RIOTS(per_100k),ROBBERY,ROBBERY(per_100k),THEFT,THEFT(per_100k),OTHER IPC CRIMES,OTHER IPC CRIMES(per_100k)
10,Goa,2001,1348,687,660,50964.39169,48961.42433,4682,347329.3769,32,2373.88724,34,2522.255193,60,4451.038576,336,24925.81602,718,53264.09496,382,28338.27893,124,9198.813056,4,296.735905,78,5786.350148,22,1632.047478,10,741.8397626,0,0,14,1038.575668,4,296.735905,348,25816.02374,0,0,14,1038.575668,18,1335.311573,6,445.1038576,12,890.2077151,72,5341.246291,24,1780.41543,816,60534.12463,0,0,24,1780.41543,128,9495.548961,50,3709.198813,1152,85459.94065,1394,103412.4629
11,Gujarat,2001,50671,26386,24285,52073.17795,47926.82205,206838,408197.9831,898,1772.21685,1512,2983.95532,1074,2119.555564,11008,21724.45778,10284,20295.63261,5848,11541.11819,3558,7021.767875,110,217.0866965,3496,6899.409919,7334,14473.76211,188,371.0208995,0,0,654,1290.679087,134,264.4510667,27520,54311.14444,0,0,222,438.1204239,1996,3939.136784,282,556.5313493,1714,3382.605435,2452,4839.059817,572,1128.850822,20660,40772.82864,38,74.99358607,572,1128.850822,3860,7617.769533,1982,3911.507568,31668,62497.28642,101438,200189.4575
12,Haryana,2001,21145,11364,9781,53743.2017,46256.7983,77518,366602.0336,406,1920.075668,956,4521.163396,934,4417.119886,6044,28583.5895,6218,29406.47907,1712,8096.476708,2032,9609.836841,74,349.9645306,1112,5258.92646,3026,14310.71175,156,737.7630646,0,0,154,728.3045637,570,2695.672736,9488,44871.12793,0,0,802,3792.858832,898,4246.866872,304,1437.692126,594,2809.174746,1562,7387.089146,796,3764.483329,6190,29274.06006,282,1333.648617,796,3764.483329,1500,7093.875621,794,3755.024829,12234,57857.64956,31812,150446.9142
13,Himachal Pradesh,2001,6078,3088,2990,50806.18625,49193.81375,22998,378381.0464,268,4409.345179,620,10200.72392,150,2467.917078,284,4672.589668,1688,27772.29352,966,15893.38598,292,4804.211912,4,65.81112208,138,2270.483712,634,10431.06285,22,361.9611714,0,0,8,131.6222442,20,329.0556104,2806,46166.50214,0,0,28,460.6778546,252,4146.100691,42,691.0167818,210,3455.083909,238,3915.761764,248,4080.289569,916,15070.74696,0,0,248,4080.289569,1256,20664.69233,56,921.3557091,1200,19743.33662,12104,199144.4554
14,India,2001,1028610,532157,496454,51735.54603,48264.55119,3538616,344019.2104,21068,2048.20097,68248,6634.973411,63046,6129.242376,127426,12388.17433,202364,19673.54002,114364,11118.30529,89454,8696.590545,3366,327.2377286,29596,2877.280991,98340,9560.474816,6734,654.6698943,0,0,12308,1196.56624,13702,1332.088936,542974,52787.15937,228,22.16583545,19492,1894.984494,44974,4372.308261,15684,1524.776154,29290,2847.532106,72404,7039.013815,32150,3125.577235,378180,36766.12127,3228,313.821565,32150,3125.577235,152444,14820.38868,39802,3869.493783,505606,49154.2956,1402724,136370.8305
15,Jammu & Kashmir,2001,10144,5361,4783,52848.97476,47151.02524,39010,384562.3028,874,8615.930599,1244,12263.40694,2948,29061.5142,1266,12480.28391,2690,26518.1388,714,7038.643533,782,7708.990536,30,295.7413249,180,1774.44795,100,985.8044164,66,650.6309148,0,0,48,473.1861199,26,256.3091483,636,6269.716088,0,0,576,5678.233438,1212,11947.94953,204,2011.041009,1008,9936.908517,2150,21194.79495,338,3332.018927,2572,25354.88959,0,0,338,3332.018927,2144,21135.64669,322,3174.290221,3838,37835.1735,18092,178351.735
16,Jharkhand,2001,26946,13885,13061,51528.98389,48471.01611,50894,188874.0444,330,1224.671565,594,2204.408818,1732,6427.670155,1508,5596.377941,2532,9396.57092,840,3117.345803,1108,4111.927559,46,170.711794,566,2100.497291,968,3592.369925,286,1061.382023,0,0,1272,4720.552216,434,1610.628665,4508,16729.75581,4,14.84450382,10,37.11125956,882,3273.213093,324,1202.40481,558,2070.808283,3014,11185.33363,1134,4208.416834,6146,22808.58012,96,356.2680917,1134,4208.416834,4036,14978.10436,1294,4802.196987,7654,28404.95806,17554,65145.10502
17,Karnataka,2001,52851,26899,25952,50895.91493,49104.08507,218196,412851.2233,704,1332.046697,3330,6300.732247,2950,5581.729769,8032,15197.44186,12788,24196.32552,200,378.4223572,5356,10134.15073,262,495.7332879,988,1869.406445,3510,6641.312369,148,280.0325443,0,0,356,673.5917958,440,832.5291858,46570,88115.64587,0,0,162,306.5221093,1118,2115.380977,576,1089.856389,542,1025.524588,3252,6153.147528,586,1108.777507,17704,33497.94706,72,136.2320486,586,1108.777507,13372,25301.3188,1694,3205.237365,25736,48695.38892,94602,178997.5592
18,Kerala,2001,31841,15469,16373,48582.0169,51421.12371,207694,652284.7901,1536,4823.969096,3884,12198.10936,1230,3862.944003,3590,11274.77152,8948,28102.13247,0,0,5512,17311.0141,478,1501.209133,856,2688.357778,5122,16086.1782,222,697.2142835,0,0,352,1105.492918,54,169.5926635,39658,124550.1084,0,0,162,508.7779906,366,1149.461386,172,540.1840394,194,609.2773468,944,2964.731007,1124,3530.039886,7292,22901.29079,26,81.65572689,1124,3530.039886,16216,50928.04874,1034,3247.385446,10882,34176.06231,109088,342602.3052
19,Lakshadweep,2001,61,31,30,50819.67213,49180.32787,72,118032.7869,4,6557.377049,0,0,0,0,0,0,2,3278.688525,0,0,0,0,0,0,2,3278.688525,0,0,0,0,0,0,0,0,0,0,6,9836.065574,0,0,0,0,0,0,0,0,0,0,2,3278.688525,0,0,20,32786.88525,0,0,0,0,2,3278.688525,0,0,20,32786.88525,34,55737.70492
20,Madhya Pradesh,2001,60348,31444,28904,52104.46079,47895.53921,363482,602309.9357,2028,3360.509048,14126,23407.56943,5740,9511.499967,9070,15029.49559,27098,44902.89653,6594,10926.62557,2826,4682.839531,38,62.96811825,962,1594.087625,5124,8490.753629,250,414.2639358,0,0,332,550.1425068,1218,2018.293895,61790,102389.4744,0,0,1502,2488.897727,1912,3168.290581,576,954.4641082,1336,2213.826473,4850,8036.720355,5702,9448.531849,31456,52124.34546,260,430.8344933,5702,9448.531849,6790,11251.4085,3528,5846.092663,40526,67153.84106,170286,282173.3943
