Sl No,STATE/UT,YEAR,POPULATION,MALES,FEMALES,MALES(per_100k),FEMALES(per_100k),TOTAL IPC CRIMES,TOTAL IPC CRIMES(per_100k),ARSON,ARSON(per_100k),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(per_100k),ATTEMPT TO MURDER,ATTEMPT TO MURDER(per_100k),AUTO THEFT,AUTO THEFT(per_100k),BURGLARY,BURGLARY(per_100k),CAUSING DEATH BY NEGLIGENCE,CAUSING DEATH BY NEGLIGENCE(per_100k),CHEATING,CHEATING(per_100k),COUNTERFIETING,COUNTERFIETING(per_100k),CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST(per_100k),CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY BY HUSBAND OR HIS RELATIVES(per_100k),CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER(per_100k),CUSTODIAL RAPE,CUSTODIAL RAPE(per_100k),DACOITY,DACOITY(per_100k),DOWRY DEATHS,DOWRY DEATHS(per_100k),HURT/GREVIOUS HURT,HURT/GREVIOUS HURT(per_100k),IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES(per_100k),INSULT TO MODESTY OF WOMEN,INSULT TO MODESTY OF WOMEN(per_100k),KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION(per_100k),KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING AND ABDUCTION OF OTHERS(per_100k),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS(per_100k),MURDER,MURDER(per_100k),OTHER RAPE,OTHER RAPE(per_100k),OTHER THEFT,OTHER THEFT(per_100k),PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY(per_100k),RAPE,RAPE(per_100k),RIOTS,RIOTS(per_100k),ROBBERY,ROBBERY(per_100k),THEFT,THEFT(per_100k),OTHER IPC CRIMES,OTHER IPC CRIMES(per_100k)
98,Odisha,2003,37670,19091,18580,50679.58588,49323.06875,94562,251027.3427,674,1789.222193,3338,8861.162729,2428,6445.447306,2152,5712.768782,5922,15720.73268,4994,13257.23387,1874,4974.780993,22,58.40191134,508,1348.553225,2578,6843.642156,376,998.1417574,0,0,356,945.0491107,558,1481.284842,9518,25266.79055,0,0,376,998.1417574,954,2532.519246,208,552.1635254,746,1980.355721,2088,5542.872312,1450,3849.216883,8566,22739.58057,60,159.27794,1450,3849.216883,2816,7475.444651,1750,4645.606583,10718,28452.34935,41204,109381.4707
99,Puducherry,2003,990,492,498,49696.9697,50303.0303,9034,912525.2525,36,3636.363636,112,11313.13131,64,6464.646465,590,59595.9596,252,25454.54545,364,36767.67677,64,6464.646465,2,202.020202,24,2424.242424,8,808.0808081,0,0,0,0,4,404.040404,2,202.020202,2106,212727.2727,0,0,54,5454.545455,36,3636.363636,10,1010.10101,26,2626.262626,58,5858.585859,4,404.040404,544,54949.49495,0,0,4,404.040404,318,32121.21212,22,2222.222222,1134,114545.4545,4370,441414.1414
100,Punjab,2003,25041,13374,11667,53408.41021,46591.58979,57512,229671.339,142,567.0700052,692,2763.467913,1288,5143.564554,2750,10981.98954,4188,16724.5717,4452,17778.8427,6246,24943.09333,112,447.266483,686,2739.507208,1974,7883.071762,178,710.8342319,0,0,60,239.6070444,220,878.559163,8248,32937.98171,0,0,398,1589.393395,928,3705.922287,338,1349.78635,590,2356.135937,1462,5838.424983,760,3035.022563,3646,14560.1214,234,934.4674733,760,3035.022563,0,0,216,862.58536,6396,25542.11094,18632,74405.9742
101,Rajasthan,2003,58825,30644,28181,52093.49766,47906.50234,291158,494956.2261,1568,2665.533362,5430,9230.769231,3954,6721.631959,10982,18668.93328,12144,20644.28389,10148,17251.16872,14450,24564.38589,116,197.1950701,1804,3066.723332,11466,19491.71271,122,207.3948151,0,0,72,122.3969401,778,1322.566936,52346,88985.97535,2,3.399915002,66,112.1971951,4476,7609.009775,976,1659.158521,3500,5949.851254,2524,4290.692733,2100,3569.910752,21930,37280.068,82,139.3965151,2100,3569.910752,8104,13776.45559,1310,2226.944326,32912,55949.00127,125184,212807.4798
102,Sikkim,2003,555,296,259,53333.33333,46666.66667,886,159639.6396,4,720.7207207,50,9009.009009,14,2522.522523,6,1081.081081,96,17297.2973,36,6486.486486,24,4324.324324,6,1081.081081,14,2522.522523,2,360.3603604,6,1081.081081,0,0,4,720.7207207,0,0,112,20180.18018,0,0,0,0,0,0,0,0,0,0,28,5045.045045,20,3603.603604,124,22342.34234,0,0,20,3603.603604,20,3603.603604,6,1081.081081,130,23423.42342,314,56576.57658
103,Tamil Nadu,2003,63552,31959,31593,50287.95317,49712.04683,314372,494668.9325,1582,2489.300101,4044,6363.293051,3686,5799.974824,9162,14416.54079,9698,15259.94461,18224,28675.73011,3808,5991.943605,126,198.2628399,614,966.1379658,3110,4893.630413,56,88.11681772,2,3.147029204,190,298.9677744,440,692.346425,60456,95128.39879,2,3.147029204,1762,2772.532729,1758,2766.238671,494,777.3162135,1264,1988.922457,3182,5006.923464,1112,1749.748238,27264,42900.30211,86,135.3222558,1114,1752.895267,7412,11662.89023,1028,1617.573011,36426,57316.8429,155568,244788.5196
104,Tripura,2003,3283,1684,1599,51294.54767,48705.45233,7028,214072.4947,166,5056.350899,254,7736.826074,174,5300.03046,20,609.1989034,334,10173.62169,218,6640.268048,50,1522.997259,6,182.759671,6,182.759671,494,15047.21292,0,0,0,0,72,2193.116052,40,1218.397807,1068,32531.22144,0,0,0,0,292,8894.30399,234,7127.62717,58,1766.67682,508,15473.65215,228,6944.867499,532,16204.69083,0,0,228,6944.867499,548,16692.04995,138,4203.472434,552,16813.88973,1880,57264.69692
105,Uttar Pradesh,2003,172944,91132,81812,52694.51383,47305.48617,190146,109946.5723,594,343.4637802,2196,1269.775187,7586,4386.39097,11210,6481.866963,8032,4644.277917,8856,5120.732723,5822,3366.407623,452,261.3562772,3492,2019.150708,5252,3036.821168,3050,1763.576649,0,0,634,366.5926543,2644,1528.818577,15520,8974.003146,0,0,9940,5747.52521,4416,2553.427699,1418,819.9185864,2998,1733.509113,10568,6110.648534,1822,1053.520215,20292,11733.27782,392,226.662966,1822,1053.520215,4502,2603.154778,3976,2299.010084,31502,18215.14479,58898,34056.11065
106,Uttarakhand,2003,8780,4474,4306,50956.71982,49043.28018,15846,180478.3599,66,751.7084282,272,3097.949886,472,5375.854214,800,9111.617312,1114,12687.92711,724,8246.013667,758,8633.257403,16,182.2323462,276,3143.507973,634,7220.95672,62,706.1503417,0,0,52,592.2551253,186,2118.451025,1374,15649.20273,0,0,196,2232.346241,342,3895.216401,74,842.8246014,268,3052.3918,536,6104.783599,214,2437.357631,1936,22050.1139,6,68.33712984,214,2437.357631,784,8929.384966,320,3644.646925,2736,31161.73121,4706,53599.08884
107,West Bengal,2003,82320,42523,39798,51655.73372,48345.48105,122348,148624.8785,174,211.3702624,2372,2881.43829,800,971.8172983,5162,6270.651118,684,830.9037901,4600,5587.949466,3068,3726.919339,306,371.7201166,756,918.3673469,9896,12021.37998,968,1175.898931,0,0,434,527.2108844,658,799.3197279,8344,10136.05442,2,2.429543246,142,172.4975705,1804,2191.448008,202,245.3838678,1602,1946.06414,2850,3462.099125,2004,2434.402332,20064,24373.17784,1766,2145.286686,2004,2434.402332,5192,6307.094266,1196,1452.866861,25226,30643.82896,49106,59652.57532
108,A&N Islands,2004,391,217,174,55498.72123,44501.27877,1496,382608.6957,18,4603.580563,12,3069.053708,2,511.5089514,18,4603.580563,138,35294.11765,12,3069.053708,24,6138.107417,0,0,0,0,10,2557.544757,4,1023.017903,0,0,0,0,0,0,210,53708.4399,0,0,6,1534.526854,6,1534.526854,0,0,6,1534.526854,30,7672.634271,20,5115.089514,188,48081.84143,0,0,20,5115.089514,18,4603.580563,6,1534.526854,206,52685.42199,774,197953.9642
109,Andhra Pradesh,2004,78973,39844,39129,50452.68636,49547.31364,317512,402051.334,1830,2317.247667,7634,9666.594912,3816,4832.031201,10084,12768.92102,16914,21417.44647,22904,29002.31725,15856,20077.74809,350,443.1894445,1796,2274.194978,16776,21242.7032,326,412.7993112,0,0,398,503.9697112,1024,1296.645689,86670,109746.369,4,5.065022223,4620,5850.100667,3052,3864.611956,992,1256.125511,2060,2608.486445,5158,6531.346156,2032,2573.031289,37072,46942.62596,4,5.065022223,2032,2573.031289,5080,6432.578223,1192,1509.376622,47156,59711.54698,72920,92335.35512
110,Arunachal Pradesh,2004,1141,602,539,52760.7362,47239.2638,4512,395442.5942,38,3330.411919,122,10692.37511,90,7887.817704,150,13146.36284,430,37686.24014,0,0,68,5959.684487,2,175.2848379,52,4557.405784,8,701.1393514,2,175.2848379,0,0,60,5258.545136,0,0,858,75197.19544,0,0,0,0,130,11393.51446,48,4206.836109,82,7186.678352,134,11744.08414,84,7361.96319,626,54864.15425,4,350.5696757,84,7361.96319,130,11393.51446,90,7887.817704,776,68010.51709,1434,125679.2287
111,Assam,2004,27878,14377,13501,51571.13136,48428.86864,81350,291807.1598,758,2718.989884,1766,6334.744243,820,2941.387474,1370,4914.269316,5088,18250.95057,4478,16062.84525,1730,6205.610159,114,408.9246,1172,4204.031853,3890,13953.65521,126,451.9692948,0,0,720,2582.681684,148,530.8845685,11822,42406.19844,0,0,22,78.91527369,3812,13673.8647,708,2539.63699,3104,11134.22771,2428,8709.376569,2342,8400.88959,10362,37169.09391,62,222.3975895,2342,8400.88959,7230,25934.42858,1010,3622.928474,11732,42083.36323,20080,72028.12253
112,Bihar,2004,87745,45651,42094,52026.89612,47973.10388,216120,246304.6327,1414,1611.487834,1408,1604.649838,5990,6826.599806,4166,4747.84888,6350,7236.879594,4810,5481.793834,5528,6300.074078,114,129.9219329,3402,3877.143997,5358,6106.330845,560,638.2130036,2,2.279332156,2638,3006.439113,2058,2345.432788,22462,25599.17944,70,79.77662545,26,29.63131802,6826,7779.360647,4832,5506.866488,1994,2272.494159,7896,8998.803351,2778,3165.992364,18060,20582.36937,290,330.5031626,2780,3168.271696,19586,22321.4998,5972,6806.085817,22226,25330.21825,88356,100696.336
113,Chandigarh,2004,1000,571,430,57100,43000,5778,577800,0,0,40,4000,38,3800,1306,130600,372,37200,10,1000,270,27000,8,800,46,4600,146,14600,20,2000,0,0,0,0,12,1200,130,13000,0,0,36,3600,108,10800,22,2200,86,8600,44,4400,38,3800,1612,161200,4,400,38,3800,86,8600,12,1200,2918,291800,1440,144000
114,Chhattisgarh,2004,21904,11002,10902,50228.26881,49771.73119,83854,382825.0548,484,2209.642075,3322,15166.17969,1238,5651.93572,2632,12016.07012,7440,33966.39883,3434,15677.50183,848,3871.439007,84,383.4915997,202,922.2059898,1482,6765.887509,50,228.2688093,0,0,212,967.8597516,142,648.2834186,7798,35600.80351,0,0,262,1196.128561,428,1953.981008,80,365.230095,348,1588.750913,1854,8464.207451,1938,8847.69905,7396,33765.52228,16,73.04601899,1938,8847.69905,1580,7213.294375,726,3314.463112,10028,45781.5924,40286,183920.7451
115,D&N Haveli,2004,240,142,97,59166.66667,40416.66667,818,340833.3333,4,1666.666667,10,4166.666667,8,3333.333333,40,16666.66667,40,16666.66667,16,6666.666667,44,18333.33333,0,0,24,10000,6,2500,0,0,0,0,6,2500,0,0,70,29166.66667,0,0,0,0,24,10000,10,4166.666667,14,5833.333333,22,9166.666667,14,5833.333333,66,27500,0,0,14,5833.333333,34,14166.66667,4,1666.666667,106,44166.66667,386,160833.3333
116,Daman & Diu,2004,194,115,79,59278.35052,40721.64948,396,204123.7113,4,2061.85567,2,1030.927835,2,1030.927835,24,12371.13402,70,36082.47423,50,25773.19588,10,5154.639175,0,0,8,4123.71134,8,4123.71134,0,0,0,0,0,0,0,0,34,17525.7732,0,0,0,0,4,2061.85567,4,2061.85567,0,0,6,3092.783505,2,1030.927835,30,15463.91753,0,0,2,1030.927835,38,19587.62887,2,1030.927835,54,27835.05155,102,52577.31959
117,Delhi UT,2004,15129,8330,6799,55059.81889,44940.18111,107246,708876.9912,76,502.3464869,1202,7945.006279,1038,6860.995439,17746,117297.9047,3750,24786.83323,866,5724.106022,4644,30696.01428,88,581.6643532,890,5882.741754,2508,16577.43407,160,1057.571551,0,0,60,396.5893317,252,1665.675193,3560,23530.96702,0,0,260,1718.553771,2418,15982.55007,656,4336.04336,1762,11646.50671,962,6358.648952,1102,7284.02406,20242,133796.0209,270,1784.651993,1102,7284.02406,134,885.7161742,922,6094.256065,37988,251093.9256,44096,291466.7195
118,Goa,2004,1409,730,680,51809.79418,48261.17814,4254,301916.2527,14,993.6124911,46,3264.726757,12,851.6678495,240,17033.35699,522,37047.55145,432,30660.04258,122,8658.623137,0,0,98,6955.287438,34,2413.058907,10,709.7232079,0,0,10,709.7232079,4,283.8892832,340,24130.58907,0,0,30,2129.169624,26,1845.280341,6,425.8339248,20,1419.446416,80,5677.785664,74,5251.951739,766,54364.79773,0,0,74,5251.951739,66,4684.173172,36,2555.003549,1006,71398.15472,1292,91696.23847
119,Gujarat,2004,53290,27827,25463,52218.05217,47781.94783,210938,395830.3622,776,1456.183149,1514,2841.05836,938,1760.180146,13862,26012.38506,11656,21872.77163,7916,14854.56934,3452,6477.763183,244,457.872021,3224,6049.915556,7910,14843.31019,54,101.3323325,0,0,720,1351.097767,116,217.6768625,24524,46019.89116,0,0,328,615.5000938,2266,4252.204916,456,855.6952524,1810,3396.509664,2226,4177.143929,678,1272.283731,23240,43610.43348,30,56.29574029,678,1272.283731,3198,6001.125915,2272,4263.464065,37102,69622.81854,99794,187265.9035
120,Haryana,2004,22450,12088,10362,53844.098,46155.902,78192,348293.9866,190,846.325167,806,3590.200445,882,3928.730512,7470,33273.94209,5572,24819.59911,1962,8739.420935,2178,9701.55902,64,285.077951,1068,4757.238307,4052,18048.99777,130,579.064588,0,0,104,463.2516704,502,2236.080178,8388,37363.02895,0,0,1700,7572.383073,846,3768.374165,262,1167.037862,584,2601.336303,1466,6530.066815,772,3438.752784,5646,25149.22049,290,1291.759465,772,3438.752784,1398,6227.171492,488,2173.719376,13116,58423.16258,32218,143510.0223
121,Himachal Pradesh,2004,6309,3211,3098,50895.54605,49104.45395,24652,390743.3825,224,3550.483436,568,9003.011571,154,2440.957362,384,6086.543034,1532,24282.77065,938,14867.64939,348,5515.929624,12,190.2044698,194,3074.972262,504,7988.587732,24,380.4089396,0,0,2,31.70074497,16,253.6059597,2842,45046.7586,0,0,32,507.2119195,246,3899.191631,48,760.8178792,198,3138.373752,220,3487.081946,306,4850.21398,902,14297.03598,0,0,306,4850.21398,1124,17815.81867,50,792.5186242,1286,20383.57901,14030,222380.7259
122,India,2004,1079117,558354,520763,51741.74811,48258.25189,3664020,339538.7154,17274,1600.753208,69134,6406.534231,55780,5169.040984,161364,14953.33685,184980,17141.79278,138846,12866.63077,103878,9626.203646,3058,283.3798374,28352,2627.333273,116242,10771.95522,7870,729.299974,4,0.37067343,10622,984.323294,14052,1302.17576,553736,51313.80564,178,16.49496764,20002,1853.552488,46654,4323.349553,15498,1436.174205,31156,2887.175348,67216,6228.796321,36462,3378.873653,384726,35651.92653,4680,433.6879134,36466,3379.244327,119942,11114.82814,36916,3420.945088,546090,50605.26338,1482052,137339.3247
123,Jammu & Kashmir,2004,10622,5598,5024,52701.93937,47298.06063,42382,399002.0712,640,6025.230653,1980,18640.55733,2224,20937.67652,1146,10788.92864,2840,26736.96102,844,7945.772924,828,7795.142158,64,602.5230653,210,1977.028808,164,1543.965355,58,546.036528,0,0,56,527.2076822,18,169.4596121,668,6288.834494,0,0,528,4970.815289,1470,13839.20166,206,1939.371117,1264,11899.83054,1632,15364.33817,436,4104.688383,2732,25720.20335,0,0,436,4104.688383,2232,21012.9919,258,2428.921107,3878,36509.13199,21354,201035.5865
124,Jharkhand,2004,28388,14622,13766,51507.6793,48492.3207,62878,221494.9979,334,1176.553473,822,2895.589686,2286,8052.698323,1120,3945.329012,2838,9997.181908,832,2930.815838,882,3106.946597,12,42.27138227,666,2346.061716,1176,4142.595463,230,810.2014936,0,0,1160,4086.23362,550,1937.438354,4588,16161.75849,72,253.6282936,6,21.13569114,936,3297.167817,580,2043.11681,356,1254.051007,2976,10483.3028,1594,5615.048612,7628,26870.50867,110,387.4876708,1594,5615.048612,4562,16070.17049,1560,5495.279696,8748,30815.83768,25938,91369.59279
125,Karnataka,2004,54926,27916,27010,50824.74602,49175.25398,228880,416706.1137,496,903.0331719,2870,5225.212104,2774,5050.43149,10370,18879.94757,12186,22186.21418,554,1008.629793,5518,10046.24404,130,236.6820813,846,1540.25416,3176,5782.32531,114,207.551979,2,3.64126279,354,644.5035138,518,943.0870626,42464,77311.29156,0,0,114,207.551979,1184,2155.627572,612,1114.226414,572,1041.401158,3038,5531.078178,580,1055.966209,21816,39718.89451,218,396.8976441,582,1059.607472,12474,22710.55602,2048,3728.653097,32186,58598.84208,105036,191231.8392
126,Kerala,2004,32707,15907,16801,48634.84881,51368.20864,208050,636102.3634,748,2286.972208,4520,13819.67163,782,2390.92549,3434,10499.2815,9160,28006.2372,84,256.825756,7510,22961.44556,198,605.3749962,672,2054.606048,6444,19702.20442,946,2892.347204,0,0,258,788.8219647,62,189.5618675,41220,126028.0674,0,0,266,813.2815605,464,1418.656557,180,550.3409056,284,868.3156511,834,2549.912863,960,2935.151497,7046,21542.78901,30,91.72348427,960,2935.151497,12922,39508.36212,1278,3907.42043,10480,32042.0705,108212,330852.7227
127,Lakshadweep,2004,69,34,34,49275.36232,49275.36232,140,202898.5507,0,0,0,0,0,0,0,0,4,5797.101449,0,0,0,0,2,2898.550725,0,0,2,2898.550725,0,0,0,0,0,0,0,0,12,17391.30435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14492.75362,0,0,0,0,74,107246.3768,0,0,10,14492.75362,36,52173.91304
128,Madhya Pradesh,2004,64006,33364,30641,52126.36315,47872.07449,393734,615151.7045,1786,2790.363403,13380,20904.29022,5126,8008.624191,12296,19210.699,24616,38458.89448,8418,13151.89201,2574,4021.497985,72,112.4894541,1096,1712.339468,6872,10736.49345,376,587.444927,0,0,294,459.3319376,1502,2346.655001,66570,104005.8744,0,0,1608,2512.264475,1664,2599.756273,496,774.9273506,1168,1824.828922,4758,7433.678093,5750,8983.532794,32876,51363.93463,268,418.7107459,5750,8983.532794,4958,7746.148799,3052,4768.302972,45172,70574.63363,193822,302818.4858
129,Maharashtra,2004,101624,52923,48701,52077.26521,47922.73479,352604,346969.2199,2298,2261.276864,5662,5571.518539,2926,2879.241124,22614,22252.61749,29318,28849.48437,19148,18842.00583,10334,10168.85775,436,429.032512,3056,3007.163662,11292,11111.54845,230,226.3244903,0,0,1258,1237.89656,628,617.9642604,60244,59281.27214,0,0,1724,1696.449658,2090,2056.600803,516,507.7540738,1574,1548.846729,5392,5305.833268,2776,2731.638196,65290,64246.63465,630,619.9322995,2776,2731.638196,11960,11768.87349,4458,4386.759033,87904,86499.25215,88840,87420.29442
130,Manipur,2004,2251,1137,1114,50510.88405,49489.11595,5070,225233.2297,170,7552.199023,60,2665.482008,454,20168.81386,216,9595.735229,132,5864.060418,70,3109.729009,284,12616.61484,8,355.3976011,50,2221.235007,4,177.6988005,6,266.5482008,0,0,4,177.6988005,0,0,466,20701.91026,0,0,0,0,256,11372.72323,114,5064.415815,142,6308.307419,318,14127.05464,62,2754.331408,272,12083.51844,4,177.6988005,62,2754.331408,230,10217.68103,6,266.5482008,488,21679.25367,1998,88760.55087
131,Meghalaya,2004,2409,1221,1189,50684.93151,49356.57949,3504,145454.5455,30,1245.330012,68,2822.748028,84,3486.924035,276,11457.03611,284,11789.12412,102,4234.122042,88,3652.968037,4,166.0440017,50,2075.550021,10,415.1100042,14,581.1540058,0,0,182,7555.002076,4,166.0440017,246,10211.7061,0,0,0,0,108,4483.188045,72,2988.79203,36,1494.396015,248,10294.7281,108,4483.188045,560,23246.16023,4,166.0440017,108,4483.188045,4,166.0440017,162,6724.782067,836,34703.19635,868,36031.54836
132,Mizoram,2004,923,477,447,51679.30661,48429.03575,3030,328277.3564,44,4767.063922,132,14301.19177,42,4550.379198,0,0,500,54171.18093,0,0,40,4333.694475,12,1300.108342,60,6500.541712,0,0,4,433.3694475,0,0,20,2166.847237,0,0,160,17334.7779,0,0,0,0,30,3250.270856,30,3250.270856,0,0,70,7583.96533,40,4333.694475,1220,132177.6815,0,0,40,4333.694475,4,433.3694475,12,1300.108342,1220,132177.6815,640,69339.11159
133,Nagaland,2004,2068,1087,981,52562.86267,47437.13733,1968,95164.41006,10,483.5589942,6,290.1353965,66,3191.489362,52,2514.50677,140,6769.825919,68,3288.201161,56,2707.930368,0,0,22,1063.829787,0,0,10,483.5589942,0,0,28,1353.965184,0,0,104,5029.01354,0,0,2,96.71179884,46,2224.371373,38,1837.524178,8,386.8471954,140,6769.825919,36,1740.812379,458,22147.00193,0,0,36,1740.812379,12,580.270793,234,11315.28046,510,24661.5087,478,23114.11992
134,Odisha,2004,38085,19296,18789,50665.61638,49334.38362,97478,255948.5362,686,1801.234082,3622,9510.305895,2394,6285.939346,2802,7357.227255,5984,15712.22266,5304,13926.74281,1610,4227.38611,28,73.51975844,542,1423.132467,2384,6259.68229,50,131.2852829,0,0,476,1249.835893,638,1675.20021,9876,25931.46908,0,0,340,892.7399239,1052,2762.242353,206,540.8953656,846,2221.346987,2132,5598.004464,1540,4043.586714,9132,23977.94407,0,0,1540,4043.586714,2866,7525.272417,1904,4999.343574,11934,31335.17133,42116,110584.2195
135,Puducherry,2004,1019,507,512,49754.66143,50245.33857,9240,906771.3445,18,1766.437684,100,9813.542689,36,3532.875368,644,63199.21492,172,16879.29342,352,34543.67026,70,6869.479882,4,392.5417076,14,1373.895976,4,392.5417076,28,2747.791953,0,0,0,0,12,1177.625123,1948,191167.8116,0,0,60,5888.125613,20,1962.708538,4,392.5417076,16,1570.16683,50,4906.771344,8,785.0834151,624,61236.50638,0,0,8,785.0834151,294,28851.81551,2,196.2708538,1268,124435.7213,4780,469087.3405
136,Punjab,2004,25384,13570,11814,53458.87173,46541.12827,51260,201938.2288,104,409.706902,522,2056.413489,1432,5641.348881,2264,8919.004097,3532,13914.27671,4362,17184.05295,5458,21501.73338,120,472.7387331,626,2466.120391,1602,6311.062086,296,1166.088875,0,0,34,133.942641,226,890.3246139,8804,34683.26505,0,0,76,299.4011976,926,3647.967223,304,1197.60479,622,2450.362433,1550,6106.208635,780,3072.801765,2910,11463.91428,158,622.4393319,780,3072.801765,32,126.0636621,172,677.5921841,5174,20382.91837,15274,60171.76174
137,Rajasthan,2004,59984,31256,28728,52107.22859,47892.77141,309718,516334.3558,1670,2784.075754,5650,9419.178448,4060,6768.471592,13296,22165.91091,11822,19708.58896,11158,18601.6271,16666,27784.07575,130,216.7244599,1770,2950.786877,13562,22609.3625,118,196.7191251,0,0,116,193.3849026,758,1263.670312,51894,86513.07015,2,3.334222459,82,136.7031208,4768,7948.786343,1006,1677.113897,3762,6271.672446,2558,4264.470525,2076,3460.922913,24388,40657.50867,92,153.3742331,2076,3460.922913,6202,10339.42385,1346,2243.931715,37684,62823.41958,135534,225950.2534
138,Sikkim,2004,562,299,262,53202.84698,46619.21708,1262,224555.1601,14,2491.103203,80,14234.87544,16,2846.975089,12,2135.231317,128,22775.80071,58,10320.2847,44,7829.181495,2,355.8718861,8,1423.487544,2,355.8718861,6,1067.615658,0,0,0,0,0,0,156,27758.00712,0,0,0,0,10,1779.359431,2,355.8718861,8,1423.487544,32,5693.950178,6,1067.615658,134,23843.41637,0,0,6,1067.615658,152,27046.26335,10,1779.359431,146,25978.64769,392,69750.88968
139,Tamil Nadu,2004,64096,32224,31872,50274.58812,49725.41188,333212,519863.9541,1324,2065.651523,3722,5806.914628,3544,5529.206191,7992,12468.7968,8294,12939.96505,18304,28557.16425,4242,6618.197703,80,124.8127808,536,836.2456316,2874,4483.899151,52,81.12830754,0,0,144,224.6630055,450,702.0718922,61710,96277.45881,0,0,2162,3373.065402,1740,2714.677983,356,555.4168747,1384,2159.261108,2958,4614.952571,1236,1928.357464,27068,42230.40439,108,168.4972541,1236,1928.357464,6866,10712.05691,928,1447.828258,35060,54699.2012,176878,275957.9381
140,Tripura,2004,3324,1705,1620,51293.62214,48736.46209,6162,185379.0614,48,1444.043321,268,8062.575211,72,2166.064982,98,2948.255114,332,9987.966306,170,5114.320096,68,2045.728039,24,722.0216606,34,1022.864019,604,18170.87846,0,0,0,0,54,1624.548736,40,1203.369434,904,27196.14922,0,0,0,0,198,5956.6787,90,2707.581227,108,3249.097473,378,11371.84116,320,9626.955475,422,12695.54753,4,120.3369434,320,9626.955475,296,8904.933815,92,2767.749699,520,15643.80265,1736,52226.23345
141,Uttar Pradesh,2004,176374,92943,83431,52696.54257,47303.45743,260362,147619.2636,762,432.036468,3800,2154.51257,11160,6327.463232,16904,9584.179074,10598,6008.822162,14272,8091.895631,8368,4744.46347,376,213.183349,4754,2695.40862,9900,5613.072222,2872,1628.357921,0,0,756,428.634606,3416,1936.793405,22530,12773.99163,6,3.401861952,5364,3041.264585,6674,3784.004445,2026,1148.695386,4648,2635.309059,12252,6946.602107,2794,1584.133716,28144,15957.00046,196,111.1274904,2794,1584.133716,7830,4439.429848,5212,2955.084083,45048,25541.17954,81422,46164.40065
142,Uttarakhand,2004,8927,4549,4377,50957.76857,49031.02946,17268,193435.6447,56,627.3104066,286,3203.763862,494,5533.773944,1000,11201.97155,1132,12680.63179,928,10395.4296,744,8334.266831,26,291.2512602,314,3517.419066,810,9073.596953,58,649.7143497,0,0,74,828.9458945,164,1837.123334,1730,19379.41078,0,0,220,2464.43374,426,4772.039879,172,1926.739106,254,2845.300773,524,5869.833091,230,2576.453456,2194,24577.12557,2,22.40394309,230,2576.453456,888,9947.350734,330,3696.650611,3194,35779.09712,4638,51954.74403
143,West Bengal,2004,83316,43013,40303,51626.33828,48373.66172,138700,166474.6267,206,247.2514283,3132,3759.18191,780,936.1947285,5336,6404.532143,1094,1313.073119,5990,7189.495415,3372,4047.241826,250,300.062413,850,1020.212204,12668,15204.76259,936,1123.433674,0,0,424,508.9058524,792,950.5977243,7734,9282.730808,24,28.80599165,128,153.6319554,2400,2880.599165,364,436.8908733,2036,2443.708291,2850,3420.711508,2950,3540.736473,23594,28318.69029,1886,2263.670844,2950,3540.736473,5382,6459.743627,1070,1284.267128,28930,34723.22243,54852,65836.09391
144,A&N Islands,2005,405,224,181,55308.64198,44691.35802,1364,336790.1235,12,2962.962963,22,5432.098765,6,1481.481481,12,2962.962963,136,33580.24691,6,1481.481481,26,6419.753086,0,0,16,3950.617284,10,2469.135802,6,1481.481481,0,0,0,0,0,0,158,39012.34568,0,0,2,493.8271605,4,987.654321,2,493.8271605,2,493.8271605,28,6913.580247,8,1975.308642,172,42469.1358,0,0,8,1975.308642,8,1975.308642,8,1975.308642,184,45432.09877,724,178765.4321
145,Andhra Pradesh,2005,79852,40264,39587,50423.28307,49575.46461,314246,393535.5408,1934,2421.980664,7190,9004.157692,3448,4317.988278,10930,13687.82247,15908,19921.85543,19946,24978.71061,15818,19809.14692,514,643.690828,1896,2374.392626,17392,21780.29354,222,278.0143265,2,2.504633572,500,626.158393,886,1109.552672,84358,105642.9394,6,7.513900716,5016,6281.620999,3224,4037.469318,1234,1545.358914,1990,2492.110404,5500,6887.742323,1868,2339.327756,36626,45867.35461,8,10.01853429,1870,2341.83239,4052,5074.387617,1588,1988.679056,47556,59555.17708,75414,94442.2181
